geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06081614000,"Census Tract 6140, San Mateo County, California",5556,117050.0,803000.0,1768.0,1418.0,97.0,0.0,2439.0,69.0,0.0,472.0,1061.0,122.0,3285.0,59.0,1665.0,31.0,1665.0,255.0,5509.0,31.1
06081984300,"Census Tract 9843, San Mateo County, California",0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0
06081990100,"Census Tract 9901, San Mateo County, California",0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0
06085500100,"Census Tract 5001, Santa Clara County, California",7824,81125.0,559100.0,1835.0,1022.0,168.0,34.0,1775.0,0.0,0.0,187.0,4650.0,295.0,4164.0,375.0,2395.0,29.0,2395.0,752.0,7824.0,30.0
06085500200,"Census Tract 5002, Santa Clara County, California",6269,91851.0,489500.0,1846.0,1812.0,320.0,91.0,1137.0,63.0,0.0,303.0,2545.0,198.0,3756.0,61.0,2145.0,0.0,2145.0,1181.0,5575.0,25.8
06085500300,"Census Tract 5003, Santa Clara County, California",3790,110345.0,597900.0,1659.0,1644.0,271.0,27.0,774.0,0.0,0.0,219.0,866.0,297.0,2881.0,70.0,1464.0,17.0,1464.0,246.0,3790.0,28.0
06085500400,"Census Tract 5004, Santa Clara County, California",2417,66354.0,925400.0,787.0,1101.0,60.0,28.0,203.0,5.0,0.0,91.0,935.0,80.0,1445.0,56.0,997.0,14.0,997.0,233.0,2417.0,35.1
06085500500,"Census Tract 5005, Santa Clara County, California",5616,130469.0,811100.0,2356.0,3281.0,61.0,6.0,868.0,0.0,0.0,276.0,1124.0,94.0,3099.0,93.0,2051.0,47.0,2051.0,230.0,5329.0,25.8
06085500600,"Census Tract 5006, Santa Clara County, California",5165,93547.0,849000.0,2329.0,2531.0,312.0,75.0,713.0,0.0,0.0,358.0,1189.0,148.0,3160.0,87.0,2364.0,37.0,2364.0,289.0,5145.0,26.4
06085500800,"Census Tract 5008, Santa Clara County, California",3683,82344.0,481900.0,1703.0,1385.0,148.0,13.0,791.0,0.0,0.0,56.0,1303.0,301.0,2529.0,84.0,1764.0,40.0,1764.0,308.0,3683.0,30.4
06085500901,"Census Tract 5009.01, Santa Clara County, California",4064,61458.0,568500.0,1812.0,1110.0,286.0,0.0,1772.0,9.0,22.0,120.0,745.0,149.0,2544.0,196.0,2063.0,75.0,2063.0,242.0,4064.0,28.8
06085500902,"Census Tract 5009.02, Santa Clara County, California",6151,30682.0,-666666666.0,423.0,1746.0,417.0,56.0,1940.0,20.0,6.0,409.0,1576.0,469.0,2844.0,96.0,610.0,10.0,610.0,661.0,6151.0,46.1
06085501000,"Census Tract 5010, Santa Clara County, California",4647,37988.0,519000.0,1004.0,1132.0,174.0,0.0,962.0,20.0,0.0,84.0,2275.0,327.0,2876.0,219.0,1997.0,101.0,1997.0,905.0,4632.0,30.8
06085501101,"Census Tract 5011.01, Santa Clara County, California",4567,71852.0,464800.0,1425.0,1166.0,363.0,29.0,1001.0,10.0,0.0,184.0,1843.0,179.0,2943.0,94.0,1944.0,30.0,1944.0,584.0,4567.0,29.7
06085501102,"Census Tract 5011.02, Santa Clara County, California",4947,82228.0,512900.0,684.0,1095.0,111.0,0.0,306.0,0.0,0.0,367.0,3068.0,158.0,2649.0,91.0,1379.0,41.0,1379.0,437.0,4947.0,42.5
06085501200,"Census Tract 5012, Santa Clara County, California",4486,69583.0,519100.0,757.0,941.0,160.0,85.0,640.0,12.0,21.0,186.0,2485.0,151.0,2645.0,178.0,1373.0,18.0,1373.0,749.0,4433.0,31.1
06085501300,"Census Tract 5013, Santa Clara County, California",4575,82019.0,812900.0,1063.0,2184.0,289.0,184.0,649.0,19.0,0.0,178.0,1231.0,198.0,2424.0,95.0,1138.0,47.0,1138.0,399.0,4549.0,40.2
06085501401,"Census Tract 5014.01, Santa Clara County, California",3526,44052.0,386400.0,289.0,419.0,124.0,13.0,411.0,0.0,0.0,44.0,2528.0,143.0,1780.0,204.0,1037.0,87.0,1037.0,488.0,3491.0,34.3
06085501402,"Census Tract 5014.02, Santa Clara County, California",3285,46644.0,442100.0,295.0,420.0,33.0,5.0,336.0,42.0,0.0,20.0,2434.0,149.0,1873.0,188.0,917.0,45.0,917.0,749.0,3285.0,35.9
