state,fips,mrfei
CA,06095251902,7
CA,06095251903,13
CA,06095252000,8
CA,06095252102,5
CA,06095252103,0
CA,06095252104,0
CA,06095252105,0
CA,06095252106,17
CA,06095252107,13
CA,06095252108,11
CA,06095252201,17
CA,06095252202,11
CA,06095252305,12
CA,06095252306,8
CA,06095252307,17
CA,06095252308,8
CA,06095252309,0
CA,06095252401,5
CA,06095252402,10
CA,06095252501,8
CA,06095252502,5
CA,06095252604,12
CA,06095252605,10
CA,06095252606,3
CA,06095252607,4
CA,06095252608,0
CA,06095252609,0
CA,06095252702,4
CA,06095252703,3
CA,06095252704,6
CA,06095252705,
CA,06095252706,0
CA,06095252707,0
CA,06095252800,0
CA,06095252902,11
CA,06095252903,13
CA,06095252904,15
CA,06095252907,22
CA,06095252908,8
CA,06095252909,0
CA,06095252910,9
CA,06095253000,25
CA,06095253101,14
CA,06095253105,18
CA,06095253106,11
CA,06095253107,21
CA,06095253108,8
CA,06095253201,33
CA,06095253202,17
CA,06095253203,22
CA,06095253300,13
CA,06095253401,19
CA,06095253402,15
CA,06095253500,13
CA,06097150100,40
CA,06097150201,29
CA,06097150202,23
CA,06097150302,6
CA,06097150303,29
CA,06097150304,17
CA,06097150500,25
CA,06097150601,11
CA,06097150602,9
CA,06097150603,21
CA,06097150605,30
CA,06097150606,13
CA,06097150701,16
CA,06097150702,0
CA,06097150800,13
CA,06097150901,20
CA,06097150902,24
CA,06097151000,22
CA,06097151100,0
CA,06097151201,16
CA,06097151203,11
CA,06097151204,13
CA,06097151301,11
CA,06097151305,15
CA,06097151306,11
CA,06097151307,6
CA,06097151308,14
CA,06097151309,10
CA,06097151310,10
CA,06097151311,5
CA,06097151401,17
CA,06097151402,8
CA,06097151502,17
CA,06097151503,13
CA,06097151504,20
CA,06097151600,33
CA,06097151700,26
CA,06097151800,26
CA,06097151900,8
CA,06097152000,4
CA,06097152100,7
CA,06097152201,16
CA,06097152202,18
CA,06097152203,10
CA,06097152300,25
CA,06097152400,17
CA,06097152501,25
CA,06097152502,29
CA,06097152600,30
CA,06097152701,20
CA,06097152702,14
CA,06097152801,9
CA,06097152802,5
CA,06097152901,17
CA,06097152903,8
CA,06097152904,12
CA,06097153001,7
CA,06097153002,7
CA,06097153003,10
CA,06097153005,14
CA,06097153006,12
CA,06097153101,12
CA,06097153102,8
CA,06097153200,8
CA,06097153300,16
CA,06097153401,26
CA,06097153403,29
CA,06097153404,14
CA,06097153501,50
CA,06097153502,25
CA,06097153600,33
CA,06097153703,0
CA,06097153704,0
CA,06097153705,13
CA,06097153706,0
CA,06097153801,13
CA,06097153802,14
